what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1335817873625
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1335817873625
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1335817873626
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1335817873648
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1335817873648
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1335817873659
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1335817873660
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1335817873660
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1335817873660
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1335817873661
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1335817873661
started,bundle,com.google.gdt.eclipse.core,2.3.1.r36v201105092302,"com.google.gdt.eclipse.core",1335817873661
started,bundle,com.google.gdt.eclipse.login,2.3.1.r36v201105092302,"com.google.gdt.eclipse.login",1335817873662
started,bundle,com.google.gdt.eclipse.managedapis,2.3.1.r36v201105092302,"com.google.gdt.eclipse.managedapis",1335817873662
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1335817873662
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1335817873662
os,sysinfo,,,"win32",1335817873664
arch,sysinfo,,,"x86_64",1335817873664
ws,sysinfo,,,"win32",1335817873664
locale,sysinfo,,,"de_DE",1335817873664
processors,sysinfo,,,"4",1335817873664
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335817873664
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1335817873664
java.specification.name,sysinfo,,,"Java Platform API Specification",1335817873664
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335817873664
java.specification.version,sysinfo,,,"1.6",1335817873664
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1335817873664
java.version,sysinfo,,,"1.6.0_25",1335817873664
java.vm.info,sysinfo,,,"mixed mode",1335817873664
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1335817873664
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335817873664
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335817873664
java.vm.specification.version,sysinfo,,,"1.0",1335817873664
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1335817873664
java.vm.version,sysinfo,,,"20.0-b11",1335817873664
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1335817873683
